blockDate,transparentPercentage,shieldedPercentage
2017-02-14,0.9651184576852696,0.03488154231472912
2017-02-15,0.9874257588877792,0.012574241112219822
2017-02-16,0.9887914534285518,0.011208546571446812
2017-02-17,0.9884576241515397,0.011542375848458747
2017-02-18,0.9884432369986683,0.011556763001330534
2017-02-19,0.9870567895293295,0.01294321047066931
2017-02-20,0.9854193429390083,0.014580657060990357
2017-02-21,0.9861689749661269,0.013831025033872008
2017-02-22,0.987110763002948,0.012889236997051048
2017-02-23,0.9683566184722955,0.03164338152770319
2017-02-24,0.9413348043533358,0.05866519564666254
2017-02-25,0.9171045954098616,0.08289540459013688
2017-02-26,0.8916225574437207,0.10837744255627775
2017-02-27,0.8724449188259225,0.12755508117407632
2017-02-28,0.8725357899364806,0.12746421006351757
2017-03-01,0.8739489303858364,0.12605106961416188
2017-03-02,0.8748547872553282,0.12514521274467008
2017-03-03,0.8821962982795981,0.11780370172039978
2017-03-04,0.8830227770797658,0.11697722292023244
2017-03-05,0.8839679338198891,0.11603206618010917
2017-03-06,0.8853473495517843,0.11465265044821382
2017-03-07,0.8861585289052929,0.11384147109470498
2017-03-08,0.9080713850324647,0.09192861496753332
2017-03-09,0.914364481079799,0.08563551892019909
2017-03-10,0.9250772174679696,0.07492278253202844
2017-03-11,0.9257470649379471,0.07425293506205093
2017-03-12,0.9261406646169346,0.07385933538306316
2017-03-13,0.9268920167996777,0.07310798320032011
2017-03-14,0.9274759656699116,0.07252403433008585
2017-03-15,0.9280828322648025,0.07191716773519474
2017-03-16,0.9287512777948502,0.07124872220514711
2017-03-17,0.9330691996873886,0.06693080031260921
2017-03-18,0.9331749111375639,0.06682508886243371
2017-03-19,0.9323072271453469,0.06769277285465138
2017-03-20,0.9334599314002572,0.06654006859974078
2017-03-21,0.9343393646064969,0.06566063539350063
2017-03-22,0.9347426498295444,0.06525735017045367
2017-03-23,0.9462664051128478,0.05373359488714998
2017-03-24,0.9557494446889002,0.04425055531109777
2017-03-25,0.9556416568450209,0.044358343154976346
2017-03-26,0.9557253935139153,0.04427460648608227
2017-03-27,0.9562869843940864,0.043713015605911655
2017-03-28,0.9566507046203697,0.043349295379628124
2017-03-29,0.9568981958909941,0.043101804109002856
2017-03-30,0.9570825074393502,0.04291749256064655
2017-03-31,0.9654253416625681,0.03457465833742855
2017-04-01,0.9672877122878206,0.03271228771217585
2017-04-02,0.9674977787953518,0.032502221204644625
2017-04-03,0.9669136402559911,0.033086359744005714
2017-04-04,0.9669614544930221,0.033038545506974826
2017-04-05,0.9670229879085888,0.03297701209140841
2017-04-06,0.9670439093839418,0.03295609061605554
2017-04-07,0.9676392414500332,0.03236075854996377
2017-04-08,0.9875218118322422,0.01247818816775475
2017-04-09,0.9881934822446634,0.011806517755333224
2017-04-10,0.9881441365216741,0.011855863478322851
2017-04-11,0.9714266413549096,0.028573358645087355
2017-04-12,0.9526514957389997,0.04734850426099771
2017-04-13,0.9464867246622368,0.05351327533776055
2017-04-14,0.9488018418104077,0.051198158189589046
2017-04-15,0.960787781713299,0.039212218286696965
2017-04-16,0.9611058505931348,0.03889414940686114
2017-04-17,0.961613412297814,0.038386587702181535
2017-04-18,0.9620394534831115,0.03796054651688331
2017-04-19,0.9619314584147093,0.038068541585286136
2017-04-20,0.9620434898737105,0.03795651012628505
2017-04-21,0.9630468390927531,0.03695316090724237
2017-04-22,0.978866111661178,0.021133888338817765
2017-04-23,0.9782761999073584,0.021723800092637146
2017-04-24,0.978269524617101,0.021730475382894493
2017-04-25,0.97852867153759,0.021471328462405515
2017-04-26,0.9784798333947173,0.02152016660527835
2017-04-27,0.978557788434094,0.021442211565901797
2017-04-28,0.9791938653919088,0.020806134608087525
2017-04-29,0.9791600767701786,0.02083992322981789
2017-04-30,0.9793629615354761,0.02063703846452098
2017-05-01,0.9795699514548177,0.020430048545179786
2017-05-02,0.9798491560439989,0.020150843955998584
2017-05-03,0.9797471079307138,0.020252892069284028
2017-05-04,0.9796785386154895,0.020321461384509205
2017-05-05,0.9813168407745517,0.01868315922544786
2017-05-06,0.9865910949241764,0.013408905075823208
2017-05-07,0.9861762019649407,0.01382379803505872
2017-05-08,0.9862902656653653,0.013709734334634736
2017-05-09,0.9719032075708157,0.028096792429184614
2017-05-10,0.9579642848312497,0.042035715168751035
2017-05-11,0.9561973571042577,0.04380264289574272
2017-05-12,0.9711958894340703,0.028804110565930397
2017-05-13,0.9722572382571094,0.027742761742891257
2017-05-14,0.9723801228831908,0.027619877116810163
2017-05-15,0.972530600639027,0.027469399360973968
2017-05-16,0.9724627269663503,0.027537273033650455
2017-05-17,0.972687097983648,0.027312902016352864
2017-05-18,0.973020161063408,0.026979838936592854
2017-05-19,0.9731025712279993,0.026897428772001637
2017-05-20,0.9735655291337056,0.026434470866294496
2017-05-21,0.9737247681458383,0.02627523185416081
2017-05-22,0.9780195640595657,0.021980435940432905
2017-05-23,0.9782357584988832,0.02176424150111537
2017-05-24,0.9785092718423735,0.02149072815762466
2017-05-25,0.9788261270087956,0.021173872991202894
2017-05-26,0.9849330288997723,0.015066971100226713
2017-05-27,0.9850719087863413,0.01492809121365847
2017-05-28,0.9853907414136086,0.014609258586391234
2017-05-29,0.9853933025076902,0.014606697492309589
2017-05-30,0.9853671556680205,0.014632844331979719
2017-05-31,0.9852434515685478,0.014756548431451747
2017-06-01,0.9853468995628363,0.014653100437163212
2017-06-02,0.9735500781682355,0.026449921831764176
2017-06-03,0.9616549589723346,0.038345041027665165
2017-06-04,0.9550578127905115,0.04494218720948819
2017-06-05,0.9581539082077949,0.04184609179220495
2017-06-06,0.9595801881545631,0.040419811845436665
2017-06-07,0.9599277129512399,0.04007228704875975
2017-06-08,0.962058853490893,0.03794114650910649
2017-06-09,0.9748687052183995,0.025131294781599433
2017-06-10,0.9814577764532848,0.018542223546714236
2017-06-11,0.9816537660335555,0.018346233966444112
2017-06-12,0.9803037323414706,0.019696267658529432
2017-06-13,0.982915658087904,0.017084341912095298
2017-06-14,0.9869290582374027,0.013070941762597394
2017-06-15,0.9874575177083736,0.012542482291625471
2017-06-16,0.9875049067325793,0.01249509326742046
2017-06-17,0.9872069225481382,0.012793077451860601
2017-06-18,0.9870878055081614,0.012912194491837663
2017-06-19,0.9871696506005315,0.012830349399467138
2017-06-20,0.9868300751799783,0.013169924820021458
2017-06-21,0.9867771448106327,0.013222855189367857
2017-06-22,0.9825530324391591,0.017446967560841128
2017-06-23,0.9715371696477121,0.028462830352288377
2017-06-24,0.9673365845079657,0.03266341549203541
2017-06-25,0.9662728155733113,0.033727184426689774
2017-06-26,0.9655112160855698,0.034488783914432115
2017-06-27,0.9653272906921586,0.03467270930784279
2017-06-28,0.9647317591238117,0.03526824087619082
2017-06-29,0.963995477934905,0.036004522065097584
2017-06-30,0.9638128715606296,0.03618712843937372
2017-07-01,0.9645850782535254,0.03541492174647737
2017-07-02,0.96448421742541,0.035515782574593195
2017-07-03,0.9646526580165349,0.03534734198346774
2017-07-04,0.9647331396809001,0.035266860319101444
2017-07-05,0.9647220563106863,0.035277943689316006
2017-07-06,0.9649906825388853,0.0350093174611176
2017-07-07,0.9650621458413811,0.03493785415861985
2017-07-08,0.9645145726111958,0.03548542738880473
2017-07-09,0.9647145682386993,0.035285431761301264
2017-07-10,0.9643446685580918,0.0356553314419105
2017-07-11,0.9641762467809369,0.03582375321906455
2017-07-12,0.964083973320501,0.03591602667949972
2017-07-13,0.9640154550594349,0.03598454494056378
2017-07-14,0.9640668877654085,0.035933112234591225
2017-07-15,0.9643558399549347,0.03564416004506608
2017-07-16,0.964684932178573,0.03531506782142677
2017-07-17,0.9649570652441526,0.03504293475584717
2017-07-18,0.9680792349477384,0.03192076505225987
2017-07-19,0.9785603639982747,0.021439636001724653
2017-07-20,0.9805173174705786,0.019482682529421383
2017-07-21,0.9801401540595744,0.019859845940427136
2017-07-22,0.9737197161588335,0.02628028384116789
2017-07-23,0.9641530737847558,0.03584692621524638
2017-07-24,0.9636809215564672,0.03631907844353435
2017-07-25,0.9628174503140715,0.037182549685931744
2017-07-26,0.9621799786494037,0.03782002135059915
2017-07-27,0.9603138749080876,0.03968612509191531
2017-07-28,0.961508712917756,0.038491287082247805
2017-07-29,0.9606237054400766,0.039376294559926986
2017-07-30,0.959531631880075,0.04046836811992726
2017-07-31,0.9589452153819553,0.04105478461804738
2017-08-01,0.957759875401462,0.04224012459853957
2017-08-02,0.9577205644234453,0.04227943557655729
2017-08-03,0.9578411622992496,0.04215883770075235
2017-08-04,0.9579291613997565,0.04207083860024593
2017-08-05,0.9579082209687305,0.042091779031271745
2017-08-06,0.9577682759915516,0.04223172400845146
2017-08-07,0.9578299744020353,0.042170025597968834
2017-08-08,0.9577916298486765,0.042208370151328875
2017-08-09,0.9593117429723131,0.040688257027693214
2017-08-10,0.9701674910020286,0.029832508997978378
2017-08-11,0.9731804811480235,0.026819518851982284
2017-08-12,0.9696221744513511,0.03037782554865393
2017-08-13,0.9708395375450916,0.029160462454913456
2017-08-14,0.9699801300559958,0.030019869944008265
2017-08-15,0.9705809321889896,0.029419067811012833
2017-08-16,0.9703380619326945,0.029661938067306586
2017-08-17,0.9599676438349856,0.04003235616501631
2017-08-18,0.9596440759724411,0.04035592402755684
2017-08-19,0.9582773173733434,0.04172268262665594
2017-08-20,0.9588138734847467,0.04118612651525142
2017-08-21,0.9589579768526811,0.04104202314731767
2017-08-22,0.9583937341074424,0.04160626589255423
2017-08-23,0.9576779578822096,0.04232204211778578
2017-08-24,0.9580632023581359,0.04193679764185854
2017-08-25,0.9561415036894882,0.0438584963105074
2017-08-26,0.9551604396426161,0.04483956035738286
2017-08-27,0.9546286613044556,0.04537133869554258
2017-08-28,0.9547951937780181,0.04520480622197875
2017-08-29,0.9542702611985706,0.04572973880142767
2017-08-30,0.9521901621442859,0.04780983785571495
2017-08-31,0.9512369982613965,0.04876300173860282
2017-09-01,0.9521174755943027,0.04788252440569901
2017-09-02,0.9522384279233197,0.047761572076682045
2017-09-03,0.952075122833926,0.0479248771660771
2017-09-04,0.9521495750846074,0.04785042491539308
2017-09-05,0.9517126872101598,0.048287312789843065
2017-09-06,0.9519664788910378,0.048033521108962876
2017-09-07,0.9520090853655557,0.04799091463444541
2017-09-08,0.9520723978294583,0.04792760217054326
2017-09-09,0.9524415381470838,0.047558461852916234
2017-09-10,0.9523567675355655,0.04764323246443276
2017-09-11,0.9522145963426873,0.047785403657313076
2017-09-12,0.9558373509236564,0.0441626490763453
2017-09-13,0.9571526203851524,0.04284737961485064
2017-09-14,0.96555506971769,0.03444493028231124
2017-09-15,0.9654362314507118,0.034563768549289685
2017-09-16,0.9658819795353399,0.03411802046466234
2017-09-17,0.9658044107824629,0.03419558921753961
2017-09-18,0.9656930621018935,0.03430693789810816
2017-09-19,0.9656920482053921,0.034307951794608535
2017-09-20,0.9659298636930755,0.03407013630692513
2017-09-21,0.9660422943521554,0.03395770564784588
2017-09-22,0.9660394539492789,0.033960546050720505
2017-09-23,0.9657341384633635,0.034265861536637895
2017-09-24,0.9657463034903186,0.03425369650968117
2017-09-25,0.9705352435513204,0.02946475644867989
2017-09-26,0.9702726535500107,0.029727346449989957
2017-09-27,0.9706255646507831,0.02937443534921692
2017-09-28,0.9755586666454864,0.02444133335451303
2017-09-29,0.9683713517089472,0.03162864829105083
2017-09-30,0.9611383630646635,0.03886163693533362
2017-10-01,0.9575846209208624,0.04241537907913193
2017-10-02,0.9569517923607722,0.04304820763922089
2017-10-03,0.957047163881714,0.04295283611828137
2017-10-04,0.9574078626852454,0.04259213731474646
2017-10-05,0.9575059409950184,0.04249405900497281
2017-10-06,0.9591967821570551,0.04080321784293981
2017-10-07,0.9592828212226125,0.04071717877738126
2017-10-08,0.9581092107148326,0.04189078928516052
2017-10-09,0.957481718353458,0.04251828164653708
2017-10-10,0.956301094133124,0.043698905866871265
2017-10-11,0.9559954068925244,0.044004593107471096
2017-10-12,0.9626588474500436,0.037341152549948624
2017-10-13,0.965805292375185,0.03419470762480317
2017-10-14,0.9656171529258177,0.03438284707417513
2017-10-15,0.9648362432439382,0.035163756756052864
2017-10-16,0.9640602777936974,0.03593972220629372
2017-10-17,0.9627665263317278,0.03723347366826382
2017-10-18,0.9643334765592234,0.03566652344076874
2017-10-19,0.9646573927167312,0.03534260728326361
2017-10-20,0.9639372333733602,0.036062766626634477
2017-10-21,0.9637832405387668,0.03621675946123177
2017-10-22,0.9630813296823139,0.036918670317684026
2017-10-23,0.9628364747904136,0.03716352520958828
2017-10-24,0.9619216724493999,0.038078327550602385
2017-10-25,0.9617398950176962,0.03826010498230777
2017-10-26,0.960794638593734,0.03920536140626769
2017-10-27,0.9607216894814465,0.039278310518556646
2017-10-28,0.959514647831945,0.040485352168056196
2017-10-29,0.9590705492115439,0.04092945078845524
2017-10-30,0.9587047549678557,0.04129524503214132
2017-10-31,0.958219025106134,0.041780974893864
2017-11-01,0.9582000849331143,0.0417999150668795
2017-11-02,0.958438307666861,0.04156169233313316
2017-11-03,0.9570421715830426,0.042957828416946765
2017-11-04,0.9575033841626768,0.042496615837315156
2017-11-05,0.9574373038539448,0.04256269614604503
2017-11-06,0.9570260662707382,0.04297393372925243
2017-11-07,0.9575267381147524,0.04247326188524057
2017-11-08,0.9575366314428885,0.04246336855710319
2017-11-09,0.9576790798897202,0.04232092011027055
2017-11-10,0.957250357028585,0.04274964297140655
2017-11-11,0.957762905416425,0.04223709458356648
2017-11-12,0.9577916764051958,0.04220832359479549
