blockDate,Transactions
2017-08-03,4535
2017-08-04,4484
2017-08-05,4689
2017-08-06,5298
2017-08-07,5213
2017-08-08,6145
2017-08-09,6466
2017-08-10,6026
2017-08-11,4695
2017-08-12,4956
2017-08-13,5292
2017-08-14,5387
2017-08-15,5133
2017-08-16,5304
2017-08-17,5461
2017-08-18,5131
2017-08-19,6490
2017-08-20,5960
2017-08-21,6061
2017-08-22,5284
2017-08-23,4583
2017-08-24,4824
2017-08-25,5718
2017-08-26,8601
2017-08-27,5987
2017-08-28,6001
2017-08-29,5895
2017-08-30,6263
2017-08-31,6131
2017-09-01,6829
2017-09-02,6003
2017-09-03,5255
2017-09-04,5730
2017-09-05,5051
2017-09-06,5308
2017-09-07,4995
2017-09-08,5074
2017-09-09,5087
2017-09-10,4343
2017-09-11,4997
2017-09-12,4985
2017-09-13,5982
2017-09-14,6122
2017-09-15,7073
2017-09-16,4649
2017-09-17,4199
2017-09-18,6032
2017-09-19,4952
2017-09-20,4576
2017-09-21,5381
2017-09-22,6172
2017-09-23,5120
2017-09-24,4724
2017-09-25,7396
2017-09-26,6101
2017-09-27,9999
2017-09-28,15064
2017-09-29,10625
2017-09-30,6053
2017-10-01,5451
2017-10-02,5973
2017-10-03,5064
2017-10-04,5250
2017-10-05,5818
2017-10-06,5507
2017-10-07,4545
2017-10-08,4952
2017-10-09,5398
2017-10-10,5288
2017-10-11,4599
2017-10-12,6075
2017-10-13,6574
2017-10-14,4693
2017-10-15,5038
2017-10-16,5374
2017-10-17,5527
2017-10-18,5031
2017-10-19,5173
2017-10-20,5154
2017-10-21,5022
2017-10-22,5019
2017-10-23,5856
2017-10-24,5705
2017-10-25,5157
2017-10-26,5508
2017-10-27,7246
2017-10-28,10541
2017-10-29,6549
2017-10-30,5714
2017-10-31,8143
2017-11-01,6068
2017-11-02,5719
2017-11-03,5733
2017-11-04,4460
2017-11-05,4806
2017-11-06,5515
2017-11-07,5589
2017-11-08,6203
2017-11-09,7033
2017-11-10,6408
2017-11-11,5926
2017-11-12,6606
2017-11-13,7991
2017-11-14,6106
2017-11-15,7154
2017-11-16,8434
